Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
What is the frequency of the BeiDou-1 system?	2491.75 MHz	[]	None	None	None	set()	
BeiDou-1, along with American GPS, use which type of satellites? 	None	[]	None	None	None	set()	
BeiDou-1, along with Russian GLONASS, use which type of satellites? 	None	[]	None	None	None	set()	
BeiDou-1, along with European Galileo systems, use which type of satellites? 	None	[]	None	None	None	set()	
Which is a frequency of the vehicular system?	None	[]	None	None	None	set()	
Although, BeiDou-1 uses medium Earth orbit satellites, American GPS systems use which kind?	None	[]	None	None	None	set()	
When was the first satellite for the BeiDou-1 system launched?	October 31, 2000	['December 21, 2000', '20 December 2000', '30 October 2000']	None	None	DATE	{'DATE'}	
What was the first satellite for the BeiDou-1 system called?	BeiDou-1A	[]	None	None	None	set()	
When was the second satellite for the BeiDou-1 system launched?	December 21, 2000	['October 31, 2000', '20 December 2000', '30 September 2015']	None	None	DATE	{'DATE'}	
What was the second satellite for the BeiDou-1 system called?	BeiDou-1B	['北斗衛星導航系統', '北斗衛星導航試驗系統', 'Chen Fangyun']	None	None	PERSON	{'PERSON'}	
When was the last satellite for the BeiDou-1 system launched?	May 25, 2003	['25 May 2003', 'January 2008', 'July 25, 2015']	None	None	DATE	{'DATE'}	
In what year was the fifth and final satellite launched? 	None	[]	None	None	None	set()	
In what month was the fourth and final satellite launched?	None	[]	None	None	None	set()	
In what year was the first satellite, BeiDou-1C, launched?	None	[]	None	None	None	set()	
In what month was the first satellite, BeiDou-1X, launched?	None	[]	None	None	None	set()	
The second satellite was named BeiDou-12b and was launched in December of what year?	None	[]	None	None	None	set()	
In 2007, what was the reported resolution of the BeiDou system?	as high as 0.5 metres	['0.2 m per second', '25 meters', '10 meters']	None	None	QUANTITY	{'QUANTITY'}	
What is the calibrated accuracy of the BeiDou system?	20m	['10 m', '70°E to', '180°E']	None	None	QUANTITY	{'QUANTITY'}	
What is the uncalibrated accuracy of the BeiDou system?	100m	['four', 'nine', 'two']	None	None	CARDINAL	{'CARDINAL'}	
Who reported the resolution of the BeiDou system in 2007?	the official Xinhua News Agency	[]	None	None	None	set()	
According to which news agency was the BeiDou resolution as high as .7 metres?	None	[]	None	None	None	set()	
In 2008, the XinHuang News Agency reported the resolution of the BeiDou System as how high?	None	[]	None	None	None	set()	
There are no terminals, but the calibration accuracy is still what? 	None	[]	None	None	None	set()	
According to which news agency was the BeiDou-1X monitor resolution as high as .08 metres?	None	[]	None	None	None	set()	
What is the uncalibrated accuracy of the BeiDou second generation system?	None	[]	None	None	None	set()	
How much did a BeiDou-1 ground terminal cost in 2008?	around CN¥20,000RMB (US$2,929)	['Chinese', 'European', 'Russian']	None	None	NORP	{'NORP'}	
How much more did a BeiDou-1 ground terminal cost than a current GPS terminal?	almost 10 times the price	['Chen Fangyun', 'dǎoháng shìyàn xìtǒng', 'dǎoháng xìtǒng']	None	None	PERSON	{'PERSON'}	
Why is a BeiDou-1 ground terminal so expensive?	due to the cost of imported microchips	['eleven', 'three', 'seven']	None	None	CARDINAL	{'CARDINAL'}	
Where was the ELEXCON fair held in 2009?	Shenzhen	['BeiDou-1', 'China', 'Hong Kong']	None	None	GPE	{'GPE'}	
What was presented at the ELEXCON fair in 2009?	a BeiDou terminal priced at CN¥3,000RMB	['the first row', 'the 18th and 19th', 'that same month']	None	None	DATE	{'DATE'}	
In what year was the price of a BeiDou-1 ground terminal $250 USD?	None	[]	None	None	None	set()	
The price of the port was a result of the cost of what?	None	[]	None	None	None	set()	
The price of what was a result of imported macro chips?	None	[]	None	None	None	set()	
The price of what was a result of the price of motherboards?	None	[]	None	None	None	set()	
Where was there a terminal priced over CNY2,000RMB?	None	[]	None	None	None	set()	
Who is the chief designer of the BeiDou navigation system?	Sun Jiadong	['Chen Fangyun', '北斗衛星導航試驗系統', '北斗衛星導航系統']	None	None	PERSON	{'PERSON'}	
What did Sun Jiadong have to say about the BeiDou navigation system?	"Many organizations have been using our system for a while, and they like it very much."	['Chen Fangyun', 'Sun Jiadong', 'dǎoháng shìyàn xìtǒng']	None	None	PERSON	{'PERSON'}	
Who is Sun Jiadong?	the chief designer of the navigation system	['China Aerospace Science and Industry Corp', 'the China National Space Administration', 'BeiDou Navigation Satellite System']	None	None	ORG	{'ORG'}	
Who says that many organizations dislike the system?	None	[]	None	None	None	set()	
Moon Jiadong says that many organizations have been doing what?	None	[]	None	None	None	set()	
According to the CEO, how do many organizations feel about the system?	None	[]	None	None	None	set()	
Who is quoted as saying not many organizations have used the system?	None	[]	None	None	None	set()	
What was the BeiDou-2 system previously known as?	COMPASS	['GLONASS', 'Xinhua', 'BeiDou-2']	None	None	ORG	{'ORG'}	
How may satellites will the BeiDou-2 system have?	35	['3C', '30', '75']	None	None	CARDINAL	{'CARDINAL'}	
How many geostationary orbit satellites will the BeiDou-2 system have?	5	['3', '4', '3C']	None	None	CARDINAL	{'CARDINAL'}	
How many non-geostationary orbit satellites will the BeiDou-2 system have?	30	['35', '10', '27']	None	None	CARDINAL	{'CARDINAL'}	
What is the purpose of the geostationary orbit satellites in the BeiDou-2 system?	for backward compatibility with BeiDou-1	[]	None	None	None	set()	
What was BeiDou-3 formerly known as?	None	[]	None	None	None	set()	
MAPS is the former name of which satellite?	None	[]	None	None	None	set()	
Which system will consist of 40 satellites? 	None	[]	None	None	None	set()	
The old system will consist of how many non-geostationary satellites satellites?	None	[]	None	None	None	set()	
What are the ranging signals of the BeiDou system based on?	the CDMA principle	['Xinhua News Agency', 'Stanford University', 'AutoNavi Holdings Ltd']	None	None	ORG	{'ORG'}	
What positioning levels will the BeiDou system offer?	open and restricted (military)	['eleven', 'three', 'seven']	None	None	CARDINAL	{'CARDINAL'}	
Where will the public service for the BeiDou system be available?	globally to general users	[]	None	None	None	set()	
Who designed the COMPASS navigation system?	Sun Jiadong	['Chen Fangyun', '北斗衛星導航試驗系統', '北斗衛星導航系統']	None	None	PERSON	{'PERSON'}	
How many satellites will the COMPASS navigation system use?	75+ satellites	['the BeiDou Navigation Satellite System', 'the BeiDou Satellite Navigation Experimental System', 'the "Galileo Joint Undertaking"']	None	None	PRODUCT	{'PRODUCT'}	
Which signals are based on the ABCD principle? 	None	[]	None	None	None	set()	
The ranging signals have a simple structure and are based on which principle? 	None	[]	None	None	None	set()	
The ranging signals, based on the Galileo principle, have what type of structure?	None	[]	None	None	None	set()	
Who designed the COMPASS international trade system? 	None	[]	None	None	None	set()	
Which system is the predecessor of the GNSS system?	None	[]	None	None	None	set()	
What types of services will be offered by the BeiDou system?	a free service to civilians and licensed service to the Chinese government and military	['Russian', 'Asian', 'American']	None	None	NORP	{'NORP'}	
What is the range of accuracy for the free service offered to civilians?	10-meter location-tracking accuracy	[]	None	None	None	set()	
What is the range of accuracy for the licensed service used by Chinese government and military?	10 centimetres	['0.2 m per second', '70°E to', '10 m']	None	None	QUANTITY	{'QUANTITY'}	
As of right now, who uses the licensed military service?	the People's Liberation Army and to the Military of Pakistan	['Chen Fangyun', 'Sun Jiadong', 'dǎoháng shìyàn xìtǒng']	None	None	PERSON	{'PERSON'}	
What is something the licensed military service can be used for?	communication	[]	None	None	None	set()	
Aside from the charged service to civilians, what is the other level of service provided?	None	[]	None	None	None	set()	
Aside from the licensed service to Japanese civilians, what is the other level of service provided?	None	[]	None	None	None	set()	
The paid civilian service offers which features? 	None	[]	None	None	None	set()	
The service licensed to Japanese government has a location accuracy of what?	None	[]	None	None	None	set()	
The paid civilian service has a location tracking accuracy of how many meters?	None	[]	None	None	None	set()	
How many frequencies does the COMPASS system use?	four bands	[]	None	None	None	set()	
What are the four bands of frequencies used by the COMPASS system called?	E1, E2, E5B, and E6	['Chinese', 'Russian', 'European']	None	None	NORP	{'NORP'}	
Which frequency bands are most likely to cause issues of inter-system interference with the Galileo system?	E1 and E2	[]	None	None	None	set()	
Which bands are used by the Galileo system for their public service?	E1 and E2	[]	None	None	None	set()	
According to International Telecommunication Union (ITU) policies, who is given higher priority to a specific frequency band?	the first nation to start broadcasting in a specific frequency	[]	None	None	None	set()	
Frequencies for COMPASS overlap with Genesis and are allocated in how many bands?	None	[]	None	None	None	set()	
Which countries satellites will transmit in E3 before Galileo satellites?	None	[]	None	None	None	set()	
Which countries satellites will transmit in E3 before COMPASS satellites?	None	[]	None	None	None	set()	
Frequencies for NASA are allocated in how many bands?	None	[]	None	None	None	set()	
Aside from B3, E1 and E34, what is the other band of frequency used by COMPASS?	None	[]	None	None	None	set()	
How much information about the COMPASS system did Chinese authorities release?	little was officially announced	[]	None	None	None	set()	
What is one thing launching the first COMPASS satellite enable researchers to do?	to study general characteristics of the signals	['eleven', 'three', 'seven']	None	None	CARDINAL	{'CARDINAL'}	
What is another thing launching the first COMPASS satellite enable researchers to do?	to build a COMPASS receiver	[]	None	None	None	set()	
How much information  about the new system's signals was released by Japanese authorities? 	None	[]	None	None	None	set()	
What type of receiver did FBI researchers build?	None	[]	None	None	None	set()	
The launch of the third COMPASS satellite allowed for researchers to do what?	None	[]	None	None	None	set()	
How much information did Taiwanese authorities announce about the old system's signals?	None	[]	None	None	None	set()	
When was the Compass-M1 satellite launched?	14 April 2007	['15 April 2009', 'February 2007', '1 August 2010']	None	None	DATE	{'DATE'}	
What is the purpose of the Compass-M1 satellite?	for signal testing and validation and for the frequency filing	['Russian', 'Chinese', 'Asian']	None	None	NORP	{'NORP'}	
The purpose of the Compass-M1 satellite is similar to the purpose of what other satellite?	the GIOVE satellites for the Galileo system	['three', 'eleven', 'seven']	None	None	CARDINAL	{'CARDINAL'}	
What is the altitude of the Compass-M1 satellite?	21,150 km	['25 meters', '10 meters', '0.2 meters']	None	None	QUANTITY	{'QUANTITY'}	
What is the inclination of the Compass-M1 satellite?	55.5 degrees	['2,200 pounds', '90 degrees', '70°E to']	None	None	QUANTITY	{'QUANTITY'}	
Compass-L1 is an experimental satellite launched during which month of 2007?	None	[]	None	None	None	set()	
Compass-L1 is an experimental satellite launched during which year?	None	[]	None	None	None	set()	
Compass-L1 is an experimental satellite launched on what day?	None	[]	None	None	None	set()	
What satellites role is the Compass-L3 similar to?	None	[]	None	None	None	set()	
Compass M-1 has a square orbit and an altitude of how many KM?	None	[]	None	None	None	set()	
What frequency bands does Compass-M1 transmit in?	E2, E5B, and E6	['Xinhua News Agency', 'Stanford University', 'E5B.\nCharacteristics']	None	None	ORG	{'ORG'}	
What is the phase shift of the sub-signals detected in each frequency band used by  Compass-M1?	90 degrees (in quadrature)	[]	None	None	None	set()	
What are the two sub-signals in each frequency band referred to as?	"I" and "Q"	[]	None	None	None	set()	
What is the intended purpose of the "I" component?	likely to be intended for the open service	['the first row', 'the 18th and 19th', 'that same month']	None	None	DATE	{'DATE'}	
What is the intended purpose of the "Q" component?	probably intended for the restricted service	['the BeiDou Satellite Navigation Experimental System', 'the BeiDou Navigation Satellite System', 'the "Galileo Joint Undertaking"']	None	None	PRODUCT	{'PRODUCT'}	
In how many bands does Nerf-M1 transmit in?	None	[]	None	None	None	set()	
What bands does Compass-M3 transmit in?	None	[]	None	None	None	set()	
How many coherent sub-signals have been detected in each orbit?	None	[]	None	None	None	set()	
Which components have much shorter codes and are most likely intended for the restricted service?	None	[]	None	None	None	set()	
IQ modulation has been the only method in wired technology since how many years ago?	None	[]	None	None	None	set()	
When did the investigation of the signals transmitted by Compass -M1 begin?	immediately after the launch of Compass -M1 on 14 April 2007	['Russian', 'Chinese', 'Asian']	None	None	NORP	{'NORP'}	
What did engineers at CNES report in June 2007?	the spectrum and structure of the signals	['eleven', 'three', 'seven']	None	None	CARDINAL	{'CARDINAL'}	
Who reported the complete decoding of the “I” signals components?	researchers from Stanford University	[]	None	None	None	set()	
Who built the COMPASS receiver?	a group of engineers at Septentrio	['second', 'first', 'fourth']	None	None	ORDINAL	{'ORDINAL'}	
What was the purpose of building the COMPASS receiver?	report tracking and multipath characteristics of the “I” signals on E2 and E5B	[]	None	None	None	set()	
In what month of 2008 was Compass-M1 launched?	None	[]	None	None	None	set()	
In March of what year was Compass-M1 launched?	None	[]	None	None	None	set()	
Yale University researchers decoded what?	None	[]	None	None	None	set()	
Knowing the codes allowed Stanford researchers to build which receiver? 	None	[]	None	None	None	set()	
Knowing the codes allowed Stanford researchers to build the NERF receiver and report what? 	None	[]	None	None	None	set()	
What is the difference between the "I" signals on E2 and E5B and the civilian codes of GPS (L1-CA and L2C)?	Compass signals have somewhat greater power	['Chen Fangyun', 'dǎoháng shìyàn xìtǒng', 'dǎoháng xìtǒng']	None	None	PERSON	{'PERSON'}	
Which signals characteristics are usually similar to private military codes of GPS?	None	[]	None	None	None	set()	
Compass signals are known to have lesser what?	None	[]	None	None	None	set()	
The Japanese notation can be found in which row on the table?	None	[]	None	None	None	set()	
Even though the Chinese notation is the same, it can be found on which row of the table?	None	[]	None	None	None	set()	
When did the Compass system begin operation on a trial bases?	December 2011	['December 2012', 'December 2004', '1 August 2010']	None	None	DATE	{'DATE'}	
When did the Compass system begin offering navigation, positioning and timing data to China and nearby locations?	27 December	['2 June 2010', '25 May 2003', 'December 2011']	None	None	DATE	{'DATE'}	
What will improve the positioning accuracy of the Compass system?	as more satellites are launched	[]	None	None	None	set()	
Upon launching, the Compass system, what was the location accuracy promised to users?	accurate to the nearest 10 m	[]	None	None	None	set()	
Upon launching, the Compass system, what was the speed promised to users?	within 0.2 m per second	[]	None	None	None	set()	
During which month of 2013 did the system begin a trial operation?	None	[]	None	None	None	set()	
In what year did the system finish its trial run?	None	[]	None	None	None	set()	
The system began charging China and surrounding areas in what month?	None	[]	None	None	None	set()	
During the trial period, within how many meters was the NSEW system's positioning accuracy?	None	[]	None	None	None	set()	
After official launch, the system declined to offer customers positioning information accurate to the nearest what?	None	[]	None	None	None	set()	
When did the BeiDou-2 system start offering services?	December 2012	['December 2011', 'December 2004', 'the first row']	None	None	DATE	{'DATE'}	
Where did the BeiDou-2 system start offering services in 2012?	the Asia-Pacific region	['Russian', 'Chinese', 'European']	None	None	NORP	{'NORP'}	
At the time when BeiDou-2 system began offering services, what was the positioning data the system was able to provide?	between longitude 55°E to 180°E and from latitude 55°S to 55°N	['eleven', 'one', 'three']	None	None	CARDINAL	{'CARDINAL'}	
During which month of 2015 did the BeiDou-3 system begin offering services to Japan?	None	[]	None	None	None	set()	
In October of what year did services for the Asia-Pacific region begin?	None	[]	None	None	None	set()	
The system was able to provide positioning data between 55 E to 180 E longitude and ______ latitude? 	None	[]	None	None	None	set()	
The system was able to provide positioning data between 55 S to 55 N latitude and ______ longitude?	None	[]	None	None	None	set()	
Where did the BeiDou-X system begin offering services in December of 2012?	None	[]	None	None	None	set()	
When did the Beidou system begin operating in China?	December 2011	['December 2012', 'December 2004', '1 August 2010']	None	None	DATE	{'DATE'}	
When is it projected that the global navigation system will be finished?	by 2020	[]	None	None	None	set()	
As of December 2012, how many satellites had been launched for the BeiDou-2 system?	16	['14', '10', '27']	None	None	CARDINAL	{'CARDINAL'}	
Of the 16 satellites launched for the BeiDou-2 system, how many are operational?	14	['E1', '16', '10']	None	None	CARDINAL	{'CARDINAL'}	
During which month of 2012 did the system begin operations in China?	None	[]	None	None	None	set()	
During June of what year did the system begin operations in China?	None	[]	None	None	None	set()	
In what month did the system begin operations in Japan?	None	[]	None	None	None	set()	
In what year did the system begin operations in Japan?	None	[]	None	None	None	set()	
How many satellites have been launched as of November, 2013?	None	[]	None	None	None	set()	
When was the Compass-M1 satellite launced?	2007	['2008', '2000', '2020']	None	None	DATE	{'DATE'}	
How many satellites were launched from 2009-2011?	nine	['four', 'E1', 'one']	None	None	CARDINAL	{'CARDINAL'}	
What was achieved by launching 9 additional satellites from 2009-2011?	functional regional coverage	[]	None	None	None	set()	
How many satellites were launched since 2007?	16	['14', '10', '27']	None	None	CARDINAL	{'CARDINAL'}	
When was the second satellite of the first generation system launched? 	None	[]	None	None	None	set()	
When was the first satellite of the third generation launched?	None	[]	None	None	None	set()	
How many satellites were removed from orbit during this time?	None	[]	None	None	None	set()	
How many satellites were launched between 2005 and 2007?	None	[]	None	None	None	set()	
What is the name of the second generation satellite of the first system?	None	[]	None	None	None	set()	
When did the BeiDou system begin transitioning to global coverage?	2015	['2008', '2000', '2007']	None	None	DATE	{'DATE'}	
How did the BeiDou system begin transitioning to global coverage?	with the first launch of a new-generation of satellites	['Chen Fangyun', 'dǎoháng shìyàn xìtǒng', 'dǎoháng xìtǒng']	None	None	PERSON	{'PERSON'}	
During what year did the system begin transformation towards serving China only?	None	[]	None	None	None	set()	
What did the system first launch in 2013?	None	[]	None	None	None	set()	
In 2007, the system began transforming towards providing what type of coverage?	None	[]	None	None	None	set()	
The system began its transition towards national coverage during which year?	None	[]	None	None	None	set()	
When were the 18th and 19th satellites for the BeiDou system launched?	July 25, 2015	['1 August 2010', '14 April 2007', '15 April 2009']	None	None	DATE	{'DATE'}	
Where were the 18th and 19th satellites for the BeiDou system launched from?	the Xichang Satellite Launch Center	['LM-3C. Another']	None	None	FAC	{'FAC'}	
What were the 18th and 19th satellites for the BeiDou system launched with?	Long March 3B/Expedition-1 carrier rocket	['three', 'eleven', 'seven']	None	None	CARDINAL	{'CARDINAL'}	
What is the Expedition-1?	an independent upper stage capable of delivering one or more spacecraft into different orbits	['the first row', 'that same month', 'the 18th and 19th']	None	None	DATE	{'DATE'}	
During which month of 2007 was the 18th satellite launched?	None	[]	None	None	None	set()	
During which month of 2017 was the 19th satellite launched?	None	[]	None	None	None	set()	
In which year was the 20th satellite launched?	None	[]	None	None	None	set()	
Where were the 2nd and 3rd satellites launched from?	None	[]	None	None	None	set()	
This marked the third time China launched how many satellites at once? 	None	[]	None	None	None	set()	
What will the three latest satellites provide after testing?	navigation services	[]	None	None	None	set()	
What kind of testing will be performed on the three latest satellites?	testing of a new system of navigation signaling and inter-satellite links	['Chinese', 'Russian', 'Asian']	None	None	NORP	{'NORP'}	
How many satellites will be used to test a new system of navigation signaling?	three	['seven', 'E1', 'nine']	None	None	CARDINAL	{'CARDINAL'}	
Four of the newest satellites will undergo what?	None	[]	None	None	None	set()	
The satellites will individually undergo testing of an old system of what?	None	[]	None	None	None	set()	
The three newest terminals will start providing what type of services when ready?	None	[]	None	None	None	set()	
How many satellites will undergo separate testing for new signaling units?	None	[]	None	None	None	set()	
How many terminals will be undergo testing of the new system?	None	[]	None	None	None	set()	
What is the name for the rules issued by the heads of the Church?	Canon law	["St Paul's", 'Reformed', 'Licentiate of Canon']	None	None	ORG	{'ORG'}	
In what type of religion are canon laws applicable?	Christian	['European', 'Oriental Orthodox', 'Brazilian']	None	None	NORP	{'NORP'}	
Which institutions make up the Catholic Church?	Latin Church and Eastern Catholic Churches	['The Apostolic Canons or Ecclesiastical Canons', 'the Eastern Catholic Churches', 'the Eastern Churches']	None	None	ORG	{'ORG'}	
What body was first responsible for creating canon?	church council	['Western Church', 'the Roman Church', 'Latin Church']	None	None	ORG	{'ORG'}	
What does canon law consist of?	canons	[]	None	None	None	set()	
What is the name of rules made by lay people of the church?	None	[]	None	None	None	set()	
What church is made up of the Latin and Western Catholic churches	None	[]	None	None	None	set()	
All religions are governed by what rules?	None	[]	None	None	None	set()	
What was originally adopted by the Pope?	None	[]	None	None	None	set()	
Throughout what three bodies is canon law interpreted the same way?	None	[]	None	None	None	set()	
What is the Greek term for canon?	kanon	[]	None	None	None	set()	
What is the Hebrew term for canon?	kaneh	[]	None	None	None	set()	
What is the Arabic term meaning canon?	Qanun	[]	None	None	None	set()	
What is the common definition of the word canon as it appears in Greek, Arabic and Hebrew?	reed	[]	None	None	None	set()	
Which English term is derived from the same root as the Greek, Arabic and Hebrew words for canon?	cane	[]	None	None	None	set()	
What is kanon the Hebrew word for?	None	[]	None	None	None	set()	
What is Kaneh the Greek word for?	None	[]	None	None	None	set()	
How many ancient canons exist in the Eastern Church?	eighty-five	['fifty', 'three', 'four']	None	None	CARDINAL	{'CARDINAL'}	
How many ancient canons exist in the Western Church?	fifty	['three', 'five', 'four']	None	None	CARDINAL	{'CARDINAL'}	
What is another term for Apostolic Canons?	Ecclesiastical Canons	[]	None	None	None	set()	
When was the First Council of Nicaea held?	325	['ten', 'four', 'five']	None	None	CARDINAL	{'CARDINAL'}	
What is the Greek definition of κανὠν?	a rule	[]	None	None	None	set()	
What does the Western church have eighty-five of?	None	[]	None	None	None	set()	
What does the Eastern church have fifty of?	None	[]	None	None	None	set()	
What is made up of a collection of ecclesiastical decrees and cannons?	None	[]	None	None	None	set()	
What did the Ante-Nicene fathers call cannons?	None	[]	None	None	None	set()	
What Council met in 325 BC?	None	[]	None	None	None	set()	
Who enforces canon law in Catholicism?	the Church's hierarchical authorities	['the Roman Rite', 'European', 'Latin canon']	None	None	NORP	{'NORP'}	
What is the name for the collection of formal rules in Catholicism?	canon law	[]	None	None	None	set()	
What does management of canon law aim to regulate?	external organization and government	[]	None	None	None	set()	
What is canon law's purpose with respect to members of the Catholic Church?	order and direct the activities of Catholics toward the mission of the Church	['The Apostolic Canons or Ecclesiastical Canons', 'the Eastern Church', 'the Western Church']	None	None	ORG	{'ORG'}	
In what church is canon law used to regulate internal organizations?	None	[]	None	None	None	set()	
What mission this Canon law directly activities of all Christians towards?	None	[]	None	None	None	set()	
What is the name of the collection of informal rules in Catholicism?	None	[]	None	None	None	set()	
What law is enforced by individual parishes?	None	[]	None	None	None	set()	
What is another name for the collections of other Catholic churches led by the Supreme Pontiff?	rites	[]	None	None	None	set()	
How many major rites exist?	five	['four', 'fifty', 'three']	None	None	CARDINAL	{'CARDINAL'}	
Who is the leader of the Roman Catholic Church?	the Supreme Pontiff	[]	None	None	None	set()	
What term characterizes the intersection of the rites with the Roman Catholic Church?	full union	[]	None	None	None	set()	
Which denomination is led by the Supreme Pontiff?	Roman Catholic	[]	None	None	None	set()	
How many rights are there net Eastern Catholic church?	None	[]	None	None	None	set()	
What is another name for the collection of Catholic churches led by the College of Cardinals?	None	[]	None	None	None	set()	
How many rights are not a full union with the Roman Catholic Church?	None	[]	None	None	None	set()	
Who leads all Christian churches?	None	[]	None	None	None	set()	
What are the permanent sources of positive ecclesiastical law?	immutable divine and natural law	[]	None	None	None	set()	
What are the impermanent sources of positive ecclesiastical law?	changeable circumstantial and merely positive law	['the Roman Rite', 'Oriental Orthodox', 'Latin American']	None	None	NORP	{'NORP'}	
What is given to the universal positive law of the Roman Catholic Church by its leader?	formal authority and promulgation	[]	None	None	None	set()	
What is the pope's official title?	Supreme Pontiff	['the Roman Church', 'the jus novum', 'the Lutheran Church']	None	None	ORG	{'ORG'}	
What three divisions of power often found in government does the pope hold?	legislative, executive, and judicial	['The Apostolic Canons or Ecclesiastical Canons', 'the Early Christian Church', 'the Eastern Catholic Churches']	None	None	ORG	{'ORG'}	
What are the permanent sources of positive ecclesiastical law in all Christian churches?	None	[]	None	None	None	set()	
What are the impermanent sources of positive ecclesiastical law in all Christian churches?	None	[]	None	None	None	set()	
What do all church leaders give to the universal positive law of the Roman Catholic Church?	None	[]	None	None	None	set()	
What is the official title of all Cardinals?	None	[]	None	None	None	set()	
What three powers usually found in government are held by the Pope and College of Cardinals?	None	[]	None	None	None	set()	
What entity believes itself to have the longest standing internal mechanism of laws in Western Europe?	The Catholic Church	['the Lutheran Church', 'the Eastern Church', 'the Western Church']	None	None	ORG	{'ORG'}	
What is a legal system older than Catholic law?	Roman law	[]	None	None	None	set()	
What is the term for laws produced at the Council of Jerusalem?	canons	[]	None	None	None	set()	
When was the Council of Jerusalem held?	first century	[]	None	None	None	set()	
Apart from the Old and New Testaments, which other cultures influenced canon?	Roman, Visigothic, Saxon, and Celtic	[]	None	None	None	set()	
What does the Catholic Church claim to be the oldest of in the world?	None	[]	None	None	None	set()	
What laws predate both Roman law and European civil law traditions?	None	[]	None	None	None	set()	
What legal traditions were not included in early canons?	None	[]	None	None	None	set()	
What counsel was held in the first century BC	None	[]	None	None	None	set()	
Which period followed the jus antiquum?	the jus novum	['church council', 'Apostles', 'Western Church']	None	None	ORG	{'ORG'}	
What is the most recent era of Latin canon law?	the Code of Canon Law	['the Roman Law Code', 'the Roman Law', 'the Code of Canons of the Eastern Churches']	None	None	LAW	{'LAW'}	
What is the name for the time preceding the Code of Canon Law?	the jus vetus	[]	None	None	None	set()	
How many periods can Greek canon law be divided into?	None	[]	None	None	None	set()	
What is the jus antiquum the most recent era of?	None	[]	None	None	None	set()	
What did Jus novum precede?	None	[]	None	None	None	set()	
What did jus vetus follow?	None	[]	None	None	None	set()	
In what ways did the Eastern Catholic Churches's legal systems vary from those of the west?	different disciplines and practices	[]	None	None	None	set()	
What led to the Code of Canons of the Eastern Churches?	process of codification	[]	None	None	None	set()	
When was the law of the Eastern Catholic Churches promoted?	1990	['1917', '1983', '1929']	None	None	DATE	{'DATE'}	
Who sponsored the promulgation of Eastern Catholic Church laws?	Pope John Paul II	['the Roman Church', 'the Eastern Church', 'the Western Church']	None	None	ORG	{'ORG'}	
What was the name of the formal version of laws ruling the Eastern Catholic Churches?	the Code of Canons of the Eastern Churches	['the Code of Canon Law', 'the Roman Law', 'the Roman Law Code']	None	None	LAW	{'LAW'}	
What did the Easter and Western Catholic church have in common?	None	[]	None	None	None	set()	
When was the coded canons of the Western churches promulgated?	None	[]	None	None	None	set()	
Who promulgated the code of canons for the Western churches?	None	[]	None	None	None	set()	
What was the informal version of laws the Eastern Catholic churches?	None	[]	None	None	None	set()	
What profesional roles from secular law does the Catholic Church also employ?	lawyers, judges	[]	None	None	None	set()	
What is not present in the Catholic legal system as compared with non-religious law?	civilly-binding force	['the Church of England', 'the Episcopal Church', 'the Lutheran Church']	None	None	ORG	{'ORG'}	
What does J.C.B. stand for?	Juris Canonici Baccalaureatus	['Hebrew kaneh', 'John Paul II', 'Polly Ha']	None	None	PERSON	{'PERSON'}	
What is the English equivalent of the term abbreviated by J.C.B.?	Bachelor of Canon Law	[]	None	None	None	set()	
What is the Latin term for Licentiate of Canon Law?	Juris Canonici Licentiatus	['Eastern Catholic Canon Law', 'the Early Christian Church', 'the Second Vatican Council']	None	None	ORG	{'ORG'}	
What is not fully developed in the Catholic Church?	None	[]	None	None	None	set()	
What kind of binding forces does the Catholic Church have that are not in most secular jurisdictions?	None	[]	None	None	None	set()	
What is one of the non-academic degrees in Canon law?	None	[]	None	None	None	set()	
What are usually not pre-request for studying canon law?	None	[]	None	None	None	set()	
What ancient law served as the precursor to the type of legislation seen in the Roman Catholics?	Roman Law Code of Justinian	[]	None	None	None	set()	
What word characterizes the type of procedure found in American and British courts?	adversarial	[]	None	None	None	set()	
What term characterizes the type of procedure used in Roman Church courts?	inquisitorial	['the jus novum', 'the Roman Church', 'the Early Christian Church']	None	None	ORG	{'ORG'}	
What is the English meaning of inquirere?	to enquire	[]	None	None	None	set()	
What was adapted from the Roman law code of Julius Caesar?	None	[]	None	None	None	set()	
What courts follow the room and law style found in Eurasia?	None	[]	None	None	None	set()	
What other law system do ecclesiastical courts share an adversarial form with?	None	[]	None	None	None	set()	
What do ecclesiastical courts have rather then collegiate panels of judges?	None	[]	None	None	None	set()	
What continent's laws developed alongside those of the Church?	Europe	['the Anglican Communion']	None	None	LOC	{'LOC'}	
In which types of law can elements of canon law be seen?	modern civil law and common law	['Oriental Orthodox', 'the Roman Rite', 'Orthodox']	None	None	NORP	{'NORP'}	
Who stated that Church law can be seen in the growth of civil law institutions?	Edson Luiz Sampel	['Polly Ha', 'John Paul II', 'jus codicis']	None	None	PERSON	{'PERSON'}	
What two regions does Sampel cite as examples of the influence of canon law?	Europe and Latin American	['the Anglican Communion', 'Western Europe']	None	None	LOC	{'LOC'}	
What does Sampel claim had a great impact on?	contemporary society	[]	None	None	None	set()	
What law paralleled the legal development of Europe and Latin America?	None	[]	None	None	None	set()	
What was influenced by civil law and common law?	None	[]	None	None	None	set()	
